CVE	Problem
CVE-2021-1183	CWE-787
CVE-2021-1184	CWE-787
CVE-2021-1185	CWE-787
CVE-2021-1186	CWE-787
CVE-2021-1187	CWE-787
CVE-2021-1188	CWE-787
CVE-2021-1189	CWE-787
CVE-2021-1190	CWE-787
CVE-2021-1191	CWE-787
CVE-2021-1192	CWE-787
CVE-2021-1193	CWE-787
CVE-2021-1194	CWE-787
CVE-2021-1195	CWE-787
CVE-2021-1196	CWE-787
CVE-2021-1197	CWE-787
CVE-2021-1198	CWE-787
CVE-2021-1199	CWE-787
CVE-2021-1200	CWE-787
CVE-2021-1201	CWE-787
CVE-2021-1202	CWE-787
CVE-2021-1203	CWE-787
CVE-2021-1204	CWE-787
CVE-2021-1205	CWE-787
CVE-2021-1206	CWE-787
CVE-2021-1207	CWE-787
CVE-2021-1208	CWE-787
CVE-2021-1209	CWE-787
CVE-2021-1210	CWE-787
CVE-2021-1211	CWE-787
CVE-2021-1212	CWE-787
CVE-2021-1213	CWE-787
CVE-2021-1214	CWE-787
CVE-2021-1215	CWE-787
CVE-2021-1216	CWE-787
CVE-2021-1217	CWE-787
CVE-2021-1218	CWE-601
CVE-2021-1219	CWE-798
CVE-2021-1222	CWE-89
CVE-2021-1223	CWE-269
CVE-2021-1224	CWE-269
CVE-2021-1225	CWE-89
CVE-2021-1226	CWE-532
CVE-2021-1233	CWE-20
CVE-2021-1233	NVD-CWE-noinfo
CVE-2021-1235	CWE-497
CVE-2021-1236	CWE-670
CVE-2021-1237	CWE-427
CVE-2021-1238	CWE-79
CVE-2021-1239	CWE-79
CVE-2021-1240	CWE-427
CVE-2021-1241	CWE-119
CVE-2021-1242	NVD-CWE-noinfo
CVE-2021-1245	CWE-79
CVE-2021-1246	CWE-79
CVE-2021-1247	CWE-89
CVE-2021-1248	CWE-89
CVE-2021-1249	CWE-20
CVE-2021-1249	CWE-79
CVE-2021-1250	CWE-79
CVE-2021-1253	CWE-79
CVE-2021-1255	CWE-184
CVE-2021-1257	CWE-352
CVE-2021-1258	CWE-269
CVE-2021-1259	CWE-22
CVE-2021-1260	CWE-77
CVE-2021-1261	CWE-77
CVE-2021-1262	CWE-77
CVE-2021-1263	CWE-77
CVE-2021-1264	CWE-78
CVE-2021-1265	CWE-312
CVE-2021-1267	CWE-776
CVE-2021-1269	NVD-CWE-noinfo
CVE-2021-1269	CWE-863
CVE-2021-1270	CWE-863
CVE-2021-1271	CWE-79
CVE-2021-1272	CWE-918
CVE-2021-1273	CWE-119
CVE-2021-1274	CWE-119
CVE-2021-1276	CWE-295
CVE-2021-1277	CWE-295
CVE-2021-1278	CWE-119
CVE-2021-1278	CWE-119
CVE-2021-1279	CWE-119
CVE-2021-1280	CWE-427
CVE-2021-1282	CWE-35
CVE-2021-1283	CWE-789
CVE-2021-1286	CWE-20
CVE-2021-1298	CWE-77
CVE-2021-1299	CWE-20
CVE-2021-1299	CWE-77
CVE-2021-1300	CWE-120
CVE-2021-1300	CWE-119
CVE-2021-1301	CWE-120
CVE-2021-1301	CWE-119
CVE-2021-1302	NVD-CWE-noinfo
CVE-2021-1303	CWE-266
CVE-2021-1304	NVD-CWE-noinfo
CVE-2021-1305	CWE-20
CVE-2021-1305	NVD-CWE-noinfo
CVE-2021-1307	CWE-787
CVE-2021-1310	CWE-601
CVE-2021-1311	CWE-307
CVE-2021-1312	CWE-400
CVE-2021-1349	CWE-943
CVE-2021-1350	CWE-770
CVE-2021-1353	CWE-401
CVE-2021-1355	CWE-89
CVE-2021-1357	CWE-35
CVE-2021-1360	CWE-787
CVE-2021-1364	CWE-89
CVE-2021-1636	CWE-89
CVE-2021-1637	NVD-CWE-noinfo
CVE-2021-1638	CWE-863
CVE-2021-1641	CWE-20
CVE-2021-1642	CWE-269
CVE-2021-1643	NVD-CWE-noinfo
CVE-2021-1644	NVD-CWE-noinfo
CVE-2021-1645	NVD-CWE-noinfo
CVE-2021-1646	CWE-269
CVE-2021-1647	NVD-CWE-noinfo
CVE-2021-1648	CWE-269
CVE-2021-1649	CWE-269
CVE-2021-1650	CWE-269
CVE-2021-1651	CWE-269
CVE-2021-1652	CWE-269
CVE-2021-1653	CWE-269
CVE-2021-1654	CWE-269
CVE-2021-1655	CWE-269
CVE-2021-1656	NVD-CWE-noinfo
CVE-2021-1657	CWE-269
CVE-2021-1658	NVD-CWE-noinfo
CVE-2021-1659	CWE-269
CVE-2021-1660	NVD-CWE-noinfo
CVE-2021-1661	CWE-269
CVE-2021-1662	CWE-269
CVE-2021-1663	CWE-200
CVE-2021-1664	NVD-CWE-noinfo
CVE-2021-1665	NVD-CWE-noinfo
CVE-2021-1666	NVD-CWE-noinfo
CVE-2021-1667	NVD-CWE-noinfo
CVE-2021-1668	NVD-CWE-noinfo
CVE-2021-1669	CWE-863
CVE-2021-1670	NVD-CWE-noinfo
CVE-2021-1671	NVD-CWE-noinfo
CVE-2021-1672	NVD-CWE-noinfo
CVE-2021-1673	NVD-CWE-noinfo
CVE-2021-1674	NVD-CWE-noinfo
CVE-2021-1676	NVD-CWE-noinfo
CVE-2021-1677	CWE-290
CVE-2021-1678	NVD-CWE-noinfo
CVE-2021-1679	NVD-CWE-noinfo
CVE-2021-1680	CWE-269
CVE-2021-1681	CWE-269
CVE-2021-1682	CWE-269
CVE-2021-1683	NVD-CWE-noinfo
CVE-2021-1684	NVD-CWE-noinfo
CVE-2021-1685	CWE-269
CVE-2021-1686	CWE-269
CVE-2021-1687	CWE-269
CVE-2021-1688	CWE-269
CVE-2021-1689	CWE-269
CVE-2021-1690	CWE-269
CVE-2021-1691	NVD-CWE-noinfo
CVE-2021-1692	NVD-CWE-noinfo
CVE-2021-1693	CWE-269
CVE-2021-1694	CWE-269
CVE-2021-1695	CWE-269
CVE-2021-1696	NVD-CWE-noinfo
CVE-2021-1697	CWE-269
CVE-2021-1699	NVD-CWE-noinfo
CVE-2021-1700	NVD-CWE-noinfo
CVE-2021-1701	NVD-CWE-noinfo
CVE-2021-1702	CWE-269
CVE-2021-1703	CWE-269
CVE-2021-1704	CWE-269
CVE-2021-1705	NVD-CWE-noinfo
CVE-2021-1706	CWE-269
CVE-2021-1707	NVD-CWE-noinfo
CVE-2021-1708	NVD-CWE-noinfo
CVE-2021-1709	CWE-269
CVE-2021-1710	NVD-CWE-noinfo
CVE-2021-1711	NVD-CWE-noinfo
CVE-2021-1712	CWE-269
CVE-2021-1713	CWE-119
CVE-2021-1714	NVD-CWE-noinfo
CVE-2021-1715	CWE-787
CVE-2021-1716	NVD-CWE-noinfo
CVE-2021-1717	CWE-20
CVE-2021-1718	NVD-CWE-noinfo
CVE-2021-1719	CWE-269
CVE-2021-1723	NVD-CWE-noinfo
CVE-2021-1725	CWE-200
CVE-2021-1993	NVD-CWE-noinfo
CVE-2021-1994	NVD-CWE-noinfo
CVE-2021-1995	NVD-CWE-noinfo
CVE-2021-1996	NVD-CWE-noinfo
CVE-2021-1997	NVD-CWE-noinfo
CVE-2021-1998	NVD-CWE-noinfo
CVE-2021-1999	NVD-CWE-noinfo
CVE-2021-2000	NVD-CWE-noinfo
CVE-2021-2001	NVD-CWE-noinfo
CVE-2021-2002	NVD-CWE-noinfo
CVE-2021-2003	NVD-CWE-noinfo
CVE-2021-2004	NVD-CWE-noinfo
CVE-2021-2005	NVD-CWE-noinfo
CVE-2021-2006	NVD-CWE-noinfo
CVE-2021-2007	NVD-CWE-noinfo
CVE-2021-2009	NVD-CWE-noinfo
CVE-2021-2010	NVD-CWE-noinfo
CVE-2021-2011	NVD-CWE-noinfo
CVE-2021-2012	NVD-CWE-noinfo
CVE-2021-2013	NVD-CWE-noinfo
CVE-2021-2014	NVD-CWE-noinfo
CVE-2021-2015	NVD-CWE-noinfo
CVE-2021-2016	NVD-CWE-noinfo
CVE-2021-2017	NVD-CWE-noinfo
CVE-2021-2018	NVD-CWE-noinfo
CVE-2021-20183	CWE-79
CVE-2021-20184	CWE-354
CVE-2021-20185	CWE-400
CVE-2021-20186	CWE-79
CVE-2021-20187	CWE-94
CVE-2021-2019	NVD-CWE-noinfo
CVE-2021-20190	CWE-502
CVE-2021-2020	NVD-CWE-noinfo
CVE-2021-2021	NVD-CWE-noinfo
CVE-2021-2022	NVD-CWE-noinfo
CVE-2021-2023	NVD-CWE-noinfo
CVE-2021-2024	NVD-CWE-noinfo
CVE-2021-2025	NVD-CWE-noinfo
CVE-2021-2026	NVD-CWE-noinfo
CVE-2021-2027	NVD-CWE-noinfo
CVE-2021-2028	NVD-CWE-noinfo
CVE-2021-2029	NVD-CWE-noinfo
CVE-2021-2030	NVD-CWE-noinfo
CVE-2021-2031	NVD-CWE-noinfo
CVE-2021-2032	NVD-CWE-noinfo
CVE-2021-2033	NVD-CWE-noinfo
CVE-2021-2034	NVD-CWE-noinfo
CVE-2021-2035	NVD-CWE-noinfo
CVE-2021-20357	CWE-79
CVE-2021-2036	NVD-CWE-noinfo
CVE-2021-2038	NVD-CWE-noinfo
CVE-2021-2039	NVD-CWE-noinfo
CVE-2021-2040	NVD-CWE-noinfo
CVE-2021-2041	NVD-CWE-noinfo
CVE-2021-2042	NVD-CWE-noinfo
CVE-2021-2043	NVD-CWE-noinfo
CVE-2021-2044	NVD-CWE-noinfo
CVE-2021-2045	NVD-CWE-noinfo
CVE-2021-2046	NVD-CWE-noinfo
CVE-2021-2047	NVD-CWE-noinfo
CVE-2021-2048	NVD-CWE-noinfo
CVE-2021-2049	NVD-CWE-noinfo
CVE-2021-2050	NVD-CWE-noinfo
CVE-2021-2051	NVD-CWE-noinfo
CVE-2021-2052	NVD-CWE-noinfo
CVE-2021-2054	NVD-CWE-noinfo
CVE-2021-2055	NVD-CWE-noinfo
CVE-2021-2056	NVD-CWE-noinfo
CVE-2021-2057	NVD-CWE-noinfo
CVE-2021-2058	NVD-CWE-noinfo
CVE-2021-2059	NVD-CWE-noinfo
CVE-2021-2060	NVD-CWE-noinfo
CVE-2021-2061	NVD-CWE-noinfo
CVE-2021-20616	CWE-426
CVE-2021-20617	CWE-269
CVE-2021-20618	CWE-269
CVE-2021-20619	CWE-79
CVE-2021-2062	NVD-CWE-noinfo
CVE-2021-2063	NVD-CWE-noinfo
CVE-2021-2064	NVD-CWE-noinfo
CVE-2021-2065	NVD-CWE-noinfo
CVE-2021-2066	NVD-CWE-noinfo
CVE-2021-2067	NVD-CWE-noinfo
CVE-2021-2068	NVD-CWE-noinfo
CVE-2021-2069	NVD-CWE-noinfo
CVE-2021-2070	NVD-CWE-noinfo
CVE-2021-2071	NVD-CWE-noinfo
CVE-2021-2072	NVD-CWE-noinfo
CVE-2021-2073	NVD-CWE-noinfo
CVE-2021-2074	NVD-CWE-noinfo
CVE-2021-2075	NVD-CWE-noinfo
CVE-2021-2076	NVD-CWE-noinfo
CVE-2021-2077	NVD-CWE-noinfo
CVE-2021-2078	NVD-CWE-noinfo
CVE-2021-2079	NVD-CWE-noinfo
CVE-2021-2080	NVD-CWE-noinfo
CVE-2021-2081	NVD-CWE-noinfo
CVE-2021-2082	NVD-CWE-noinfo
CVE-2021-2083	NVD-CWE-noinfo
CVE-2021-2084	NVD-CWE-noinfo
CVE-2021-2085	NVD-CWE-noinfo
CVE-2021-2086	NVD-CWE-noinfo
CVE-2021-2087	NVD-CWE-noinfo
CVE-2021-2088	NVD-CWE-noinfo
CVE-2021-2089	NVD-CWE-noinfo
CVE-2021-2090	NVD-CWE-noinfo
CVE-2021-2091	NVD-CWE-noinfo
CVE-2021-2092	NVD-CWE-noinfo
CVE-2021-2093	NVD-CWE-noinfo
CVE-2021-2094	NVD-CWE-noinfo
CVE-2021-2096	NVD-CWE-noinfo
CVE-2021-2097	NVD-CWE-noinfo
CVE-2021-2098	NVD-CWE-noinfo
CVE-2021-2099	NVD-CWE-noinfo
CVE-2021-2100	NVD-CWE-noinfo
CVE-2021-21006	CWE-122
CVE-2021-21007	CWE-427
CVE-2021-21008	CWE-427
CVE-2021-21009	CWE-918
CVE-2021-2101	NVD-CWE-noinfo
CVE-2021-21010	CWE-427
CVE-2021-21011	CWE-427
CVE-2021-21012	CWE-787
CVE-2021-21013	CWE-787
CVE-2021-2102	NVD-CWE-noinfo
CVE-2021-2103	NVD-CWE-noinfo
CVE-2021-2104	NVD-CWE-noinfo
CVE-2021-2105	NVD-CWE-noinfo
CVE-2021-2106	NVD-CWE-noinfo
CVE-2021-2107	NVD-CWE-noinfo
CVE-2021-2108	NVD-CWE-noinfo
CVE-2021-2109	NVD-CWE-noinfo
CVE-2021-2110	NVD-CWE-noinfo
CVE-2021-21106	CWE-416
CVE-2021-21107	CWE-416
CVE-2021-21108	CWE-416
CVE-2021-21109	CWE-416
CVE-2021-2111	NVD-CWE-noinfo
CVE-2021-21110	CWE-416
CVE-2021-21111	CWE-1021
CVE-2021-21112	CWE-416
CVE-2021-21113	CWE-787
CVE-2021-21114	CWE-416
CVE-2021-21115	CWE-416
CVE-2021-21116	CWE-787
CVE-2021-2112	NVD-CWE-noinfo
CVE-2021-2113	NVD-CWE-noinfo
CVE-2021-2114	NVD-CWE-noinfo
CVE-2021-2115	NVD-CWE-noinfo
CVE-2021-2116	NVD-CWE-noinfo
CVE-2021-2117	NVD-CWE-noinfo
CVE-2021-2118	NVD-CWE-noinfo
CVE-2021-2119	NVD-CWE-noinfo
CVE-2021-2120	NVD-CWE-noinfo
CVE-2021-2121	NVD-CWE-noinfo
CVE-2021-2122	NVD-CWE-noinfo
CVE-2021-2123	NVD-CWE-noinfo
CVE-2021-21234	CWE-22
CVE-2021-21235	CWE-400
CVE-2021-21236	CWE-400
CVE-2021-21237	CWE-426
CVE-2021-21238	CWE-347
CVE-2021-21239	CWE-347
CVE-2021-2124	NVD-CWE-noinfo
CVE-2021-21241	CWE-352
CVE-2021-21242	CWE-502
CVE-2021-21243	CWE-502
CVE-2021-21244	CWE-74
CVE-2021-21245	CWE-434
CVE-2021-21246	CWE-862
CVE-2021-21247	CWE-502
CVE-2021-21248	CWE-74
CVE-2021-21249	CWE-74
CVE-2021-2125	NVD-CWE-noinfo
CVE-2021-21250	CWE-538
CVE-2021-21251	CWE-22
CVE-2021-21252	CWE-400
CVE-2021-21253	CWE-759
CVE-2021-21254	CWE-400
CVE-2021-21259	CWE-79
CVE-2021-2126	NVD-CWE-noinfo
CVE-2021-21260	CWE-79
CVE-2021-21261	CWE-74
CVE-2021-21263	CWE-74
CVE-2021-21269	CWE-22
CVE-2021-2127	NVD-CWE-noinfo
CVE-2021-21270	CWE-319
CVE-2021-21271	CWE-400
CVE-2021-21272	CWE-22
CVE-2021-21275	CWE-352
CVE-2021-21278	CWE-74
CVE-2021-2128	NVD-CWE-noinfo
CVE-2021-21283	CWE-79
CVE-2021-2129	NVD-CWE-noinfo
CVE-2021-2130	NVD-CWE-noinfo
CVE-2021-2131	NVD-CWE-noinfo
CVE-2021-21445	CWE-444
CVE-2021-21446	CWE-400
CVE-2021-21447	CWE-79
CVE-2021-21448	CWE-522
CVE-2021-21449	CWE-119
CVE-2021-21450	CWE-119
CVE-2021-21451	CWE-119
CVE-2021-21452	CWE-119
CVE-2021-21453	CWE-119
CVE-2021-21454	CWE-787
CVE-2021-21455	CWE-787
CVE-2021-21456	CWE-787
CVE-2021-21457	CWE-119
CVE-2021-21458	CWE-119
CVE-2021-21459	CWE-787
CVE-2021-21460	CWE-787
CVE-2021-21461	CWE-787
CVE-2021-21462	CWE-787
CVE-2021-21463	CWE-125
CVE-2021-21464	NVD-CWE-noinfo
CVE-2021-21465	CWE-89
CVE-2021-21466	CWE-94
CVE-2021-21467	CWE-862
CVE-2021-21468	CWE-862
CVE-2021-21469	CWE-200
CVE-2021-21470	CWE-611
CVE-2021-21471	NVD-CWE-Other
CVE-2021-21494	CWE-79
CVE-2021-21495	CWE-352
CVE-2021-21602	CWE-59
CVE-2021-21603	CWE-79
CVE-2021-21604	CWE-502
CVE-2021-21605	CWE-20
CVE-2021-21606	CWE-20
CVE-2021-21607	CWE-770
CVE-2021-21608	CWE-79
CVE-2021-21609	CWE-863
CVE-2021-21610	CWE-79
CVE-2021-21611	CWE-79
CVE-2021-21612	CWE-522
CVE-2021-21613	CWE-79
CVE-2021-21614	CWE-522
CVE-2021-21722	CWE-200
CVE-2021-22132	CWE-522
CVE-2021-22166	CWE-400
CVE-2021-22167	NVD-CWE-noinfo
CVE-2021-22168	CWE-400
CVE-2021-22171	CWE-287
CVE-2021-22492	CWE-120
CVE-2021-22493	CWE-787
CVE-2021-22494	NVD-CWE-noinfo
CVE-2021-22495	CWE-787
CVE-2021-22498	CWE-611
CVE-2021-22637	CWE-787
CVE-2021-22639	CWE-824
CVE-2021-22641	CWE-787
CVE-2021-22653	CWE-787
CVE-2021-22655	CWE-125
CVE-2021-22697	CWE-434
CVE-2021-22698	CWE-434
CVE-2021-22847	CWE-89
CVE-2021-22849	CWE-79
CVE-2021-22850	CWE-732
CVE-2021-22851	CWE-89
CVE-2021-22852	CWE-89
CVE-2021-22874	CWE-79
CVE-2021-22875	CWE-79
CVE-2021-23123	CWE-862
CVE-2021-23124	CWE-79
CVE-2021-23125	CWE-79
CVE-2021-23239	CWE-59
CVE-2021-23240	CWE-59
CVE-2021-23241	CWE-22
CVE-2021-23242	CWE-22
CVE-2021-23253	NVD-CWE-Other
CVE-2021-23326	CWE-77
CVE-2021-23835	CWE-20
CVE-2021-23836	CWE-79
CVE-2021-23837	CWE-89
CVE-2021-23838	CWE-79
CVE-2021-23899	CWE-611
CVE-2021-23900	NVD-CWE-noinfo
CVE-2021-23926	CWE-776
CVE-2021-23927	CWE-918
CVE-2021-23928	CWE-79
CVE-2021-23929	CWE-79
CVE-2021-23930	CWE-79
CVE-2021-23931	CWE-79
CVE-2021-23932	CWE-79
CVE-2021-23933	CWE-79
CVE-2021-23934	CWE-79
CVE-2021-23935	CWE-79
CVE-2021-23936	CWE-79
CVE-2021-24122	CWE-200
CVE-2021-25124	CWE-22
CVE-2021-25125	CWE-22
CVE-2021-25126	CWE-120
CVE-2021-25127	CWE-120
CVE-2021-25128	CWE-22
CVE-2021-25129	CWE-22
CVE-2021-25130	CWE-120
CVE-2021-25131	CWE-120
CVE-2021-25132	CWE-120
CVE-2021-25133	CWE-120
CVE-2021-25134	CWE-120
CVE-2021-25135	CWE-120
CVE-2021-25136	CWE-120
CVE-2021-25137	CWE-120
CVE-2021-25138	CWE-120
CVE-2021-25173	CWE-770
CVE-2021-25174	CWE-400
CVE-2021-25175	CWE-704
CVE-2021-25176	CWE-476
CVE-2021-25177	CWE-704
CVE-2021-25178	CWE-787
CVE-2021-25294	CWE-502
CVE-2021-25295	CWE-79
CVE-2021-25323	CWE-640
CVE-2021-25324	CWE-79
CVE-2021-25325	CWE-79
CVE-2021-26303	CWE-79
CVE-2021-26304	CWE-79
CVE-2021-3002	CWE-79
CVE-2021-3004	CWE-682
CVE-2021-3005	NVD-CWE-noinfo
CVE-2021-3006	CWE-863
CVE-2021-3007	CWE-502
CVE-2021-3011	CWE-203
CVE-2021-3014	CWE-79
CVE-2021-3018	CWE-89
CVE-2021-3019	CWE-22
CVE-2021-3021	CWE-89
CVE-2021-3022	NVD-CWE-noinfo
CVE-2021-3025	CWE-89
CVE-2021-3026	CWE-79
CVE-2021-3028	CWE-20
CVE-2021-3029	CWE-78
CVE-2021-3031	CWE-200
CVE-2021-3032	CWE-532
CVE-2021-3110	CWE-89
CVE-2021-3111	CWE-79
CVE-2021-3113	CWE-200
CVE-2021-3116	NVD-CWE-noinfo
CVE-2021-3118	CWE-89
CVE-2021-3121	CWE-129
CVE-2021-3129	NVD-CWE-noinfo
CVE-2021-3130	CWE-522
CVE-2021-3131	CWE-522
CVE-2021-3133	CWE-352
CVE-2021-3134	CWE-269
CVE-2021-3137	CWE-79
CVE-2021-3138	CWE-307
CVE-2021-3139	CWE-22
CVE-2021-3162	CWE-269
CVE-2021-3166	CWE-434
CVE-2021-3177	CWE-120
CVE-2021-3178	CWE-22
CVE-2021-3181	CWE-400
CVE-2021-3182	CWE-787
CVE-2021-3183	CWE-613
CVE-2021-3184	CWE-79
CVE-2021-3185	CWE-120
CVE-2021-3185	CWE-121
CVE-2021-3190	CWE-78
CVE-2021-3223	CWE-22
CVE-2021-3286	CWE-89
CVE-2021-3298	CWE-79
CVE-2021-3318	CWE-79
CVE-2020-0001	CWE-269
CVE-2020-0002	CWE-416
CVE-2020-0003	CWE-367
CVE-2020-0004	CWE-20
CVE-2020-0005	CWE-787
CVE-2020-0006	CWE-1187
CVE-2020-0007	CWE-1187
CVE-2020-0008	CWE-362
CVE-2020-0009	CWE-276
CVE-2020-0010	CWE-787
CVE-2020-0011	CWE-787
CVE-2020-0012	CWE-787
CVE-2020-0014	CWE-1021
CVE-2020-0015	CWE-269
CVE-2020-0016	CWE-798
CVE-2020-0017	CWE-200
CVE-2020-0018	CWE-532
CVE-2020-0019	CWE-798
CVE-2020-0020	CWE-119
CVE-2020-0021	CWE-476
CVE-2020-0022	CWE-787
CVE-2020-0023	CWE-276
CVE-2020-0024	CWE-276
CVE-2020-0026	CWE-416
CVE-2020-0027	CWE-787
CVE-2020-0028	CWE-200
CVE-2020-0029	CWE-200
CVE-2020-0030	CWE-416
CVE-2020-0031	CWE-200
CVE-2020-0032	CWE-787
CVE-2020-0033	CWE-787
CVE-2020-0034	CWE-125
CVE-2020-0035	CWE-200
CVE-2020-0036	CWE-269
CVE-2020-0037	CWE-125
CVE-2020-0038	CWE-125
CVE-2020-0039	CWE-125
CVE-2020-0041	CWE-787
CVE-2020-0042	CWE-125
CVE-2020-0043	CWE-125
CVE-2020-0044	CWE-125
CVE-2020-0045	CWE-362
CVE-2020-0045	CWE-119
CVE-2020-0046	CWE-787
CVE-2020-0047	CWE-863
CVE-2020-0048	CWE-908
CVE-2020-0049	CWE-908
CVE-2020-0050	CWE-787
CVE-2020-0051	CWE-269
CVE-2020-0052	CWE-269
CVE-2020-0053	CWE-787
CVE-2020-0054	CWE-862
CVE-2020-0055	CWE-125
CVE-2020-0056	CWE-125
CVE-2020-0057	CWE-125
CVE-2020-0058	CWE-125
CVE-2020-0059	CWE-125
CVE-2020-0060	CWE-89
CVE-2020-0061	CWE-862
CVE-2020-0062	CWE-200
CVE-2020-0063	CWE-269
CVE-2020-0064	CWE-863
CVE-2020-0065	CWE-863
CVE-2020-0066	CWE-787
CVE-2020-0067	CWE-125
CVE-2020-0068	CWE-125
CVE-2020-0069	CWE-787
CVE-2020-0070	CWE-787
CVE-2020-0071	CWE-787
CVE-2020-0072	CWE-787
CVE-2020-0073	CWE-787
CVE-2020-0074	CWE-269
CVE-2020-0075	CWE-125
CVE-2020-0076	CWE-787
CVE-2020-0077	CWE-125
CVE-2020-0078	CWE-787
CVE-2020-0079	CWE-787
CVE-2020-0080	CWE-269
CVE-2020-0081	CWE-415
CVE-2020-0082	CWE-502
CVE-2020-0083	NVD-CWE-noinfo
CVE-2020-0084	CWE-863
CVE-2020-0085	CWE-863
CVE-2020-0086	CWE-190
CVE-2020-0087	CWE-200
CVE-2020-0088	CWE-400
CVE-2020-0089	CWE-732
CVE-2020-0090	CWE-863
CVE-2020-0091	CWE-200
CVE-2020-0092	CWE-200
CVE-2020-0093	CWE-125
CVE-2020-0094	CWE-787
CVE-2020-0096	CWE-269
CVE-2020-0097	CWE-269
CVE-2020-0098	CWE-269
CVE-2020-0099	CWE-269
CVE-2020-0100	CWE-125
CVE-2020-0101	CWE-200
CVE-2020-0102	CWE-787
CVE-2020-0103	CWE-119
CVE-2020-0104	CWE-200
CVE-2020-0105	CWE-269
CVE-2020-0106	CWE-200
CVE-2020-0107	CWE-276
CVE-2020-0108	CWE-269
CVE-2020-0109	CWE-269
CVE-2020-0110	CWE-787
CVE-2020-0113	CWE-416
CVE-2020-0114	CWE-269
CVE-2020-0115	CWE-269
CVE-2020-0116	CWE-276
CVE-2020-0117	CWE-190
CVE-2020-0118	CWE-787
CVE-2020-0119	CWE-295
CVE-2020-0120	CWE-787
CVE-2020-0121	CWE-276
CVE-2020-0122	CWE-276
CVE-2020-0123	CWE-787
CVE-2020-0124	CWE-787
